41.03,0,0,20.51,0
27.82,13.31,2.02,26.61,1.64
44.12,8.82,5.88,14.71,0
5.71,11.43,0,62.86,3.23
70.73,0,0,0,0
52.94,5.88,2.94,2.94,3.45
40.62,6.25,3.12,0,7.14
39.13,4.35,0,10.87,0
51.52,3.03,0,0,3.33
50,0,0,0,0
61.29,0,0,0,7.69
40.38,11.54,5.77,5.77,4.17
29.55,15.91,2.27,15.91,2.5
51.85,3.7,0,0,0
47.06,2.94,0,5.88,0
8.33,20.83,12.5,33.33,0
60.98,0,4.88,0,0
58.7,4.35,0,0,7.5
67.21,1.09,0,2.19,3.93
59.52,0,0,0,0
41.03,5.13,0,17.95,0
53.66,0,0,0,0
44.44,5.56,0,0,0
55,2.5,5,2.5,0
16.22,29.73,5.41,29.73,0
50,2.78,2.78,0,0
13.95,9.3,0,53.49,0
28.89,20,8.89,13.33,0
6.52,30.43,13.04,21.74,0
21.95,14.63,0,14.63,0
48.84,14.73,0.39,13.95,2.39
78.54,0.91,0.46,1.83,5.63
15,32.5,0,22.5,0
75,0,0,0,0
54.55,6.82,0,2.27,0
65,0,0,0,5.71
40.43,4.26,6.38,6.38,0
18.87,22.64,0,26.42,0
31.11,13.33,4.44,8.89,2.44
50,0,3.33,0,0
9.09,29.55,0,36.36,0
29.41,7.84,0,23.53,0
35.42,8.33,2.08,12.5,0
46.3,1.85,3.7,1.85,18
59.38,0,0,0,3.57
35.56,4.44,8.89,11.11,2.5
32.08,3.77,3.77,16.98,2.08
35.48,0,0,0,0
47.06,5.88,0,0,0
14.71,17.65,5.88,17.65,0
59.46,2.7,0,0,12.12
40,0,0,0,3.23
35,0,0,17.5,0
69.05,0,0,2.38,8.11
28.36,14.93,4.48,22.39,3.17
32,6,0,28,2.22
60.61,9.09,0,7.58,13.33
58.7,0,0,0,2.56
58.75,2.92,1.25,4.58,5.98
5.77,21.15,1.92,46.15,0
29.79,6.38,0,23.4,0
74.29,5.71,0,0,9.68
10.34,17.24,25.86,8.62,0
31.58,7.89,0,15.79,0
60,0,0,2.22,12.82
54.55,3.64,0,5.45,4
62.9,9.68,0,1.61,3.45
41.41,9.09,3.03,12.12,6.45
6.82,31.82,6.82,20.45,0
59.32,3.39,0,3.39,3.7
2.44,24.39,4.88,26.83,0
36.21,12.07,0,24.14,3.7
53.33,4.44,0,2.22,0
55.56,0,0,0,0
45.45,0,0,3.03,0
74.58,1.69,0,1.69,18.52
43.33,5,0,15,0
68,0,0,0,10.87
55.56,0,0,7.41,4.17
70.18,1.75,0,1.75,9.8
17.39,26.09,8.7,13.04,0
70.45,2.27,0,0,2.56
41.86,6.98,0,4.65,5
60.87,4.35,0,0,4.76
9.3,32.56,4.65,13.95,2.56
36.11,19.44,0,13.89,0
38.64,4.55,4.55,20.45,0
48.89,11.11,0,15.56,2.5
54.55,6.06,0,3.03,0
54.55,1.82,1.82,5.45,3.92
40.62,6.25,0,6.25,3.85
66.23,4.92,1.31,2.3,2.68
48.48,6.06,0,27.27,0
73.76,3.19,0,6.03,27.64
55.26,0,0,0,3.03
50.72,8.7,0,18.84,12.5
33.33,3.33,0,16.67,0
29.27,9.76,0,24.39,0
54.05,2.7,0,2.7,0
78.95,0,0,0,17.65
42.11,2.63,0,10.53,0
44.44,0,0,22.22,10.26
76.36,0,0,1.82,10.2
29.51,18.03,1.64,13.11,1.79
32.65,2.04,2.04,22.45,6.67
58.7,4.35,0,2.17,2.5
61.36,4.55,0,2.27,2.63
34.88,4.65,2.33,6.98,0
58.54,2.44,0,7.32,0
62.5,5.36,0,1.79,1.96
54.35,6.52,0,4.35,2.33
23.53,2.94,11.76,2.94,0
79.2,1.53,0,0.31,10.19
64.52,0,0,0,3.7
52.83,1.89,0,15.09,4.08
80,1.15,0.38,2.31,21.88
30.77,0,2.56,10.26,0
52.27,2.27,0,9.09,5.13
87.23,0,0,0,39.53
48.28,13.79,0,0,0
40.74,5.56,1.85,7.41,0
52.94,5.88,0,7.84,0
72.88,1.69,0,3.39,18.18
65.79,0,0,7.89,0
16.67,22.92,2.08,31.25,2.33
34.38,9.38,0,3.12,3.7
24.32,10.81,0,21.62,0
56.25,6.25,0,2.08,4.76
69.05,0,0,0,8.33
9.38,20.31,1.56,48.44,0
22.22,17.78,6.67,17.78,0
41.94,6.45,0,6.45,0
60.98,0,0,0,2.78
51.52,0,0,0,0
38.71,0,6.45,0,0
43.18,0,0,9.09,2.56
31.25,3.12,3.12,15.62,0
43.75,0,0,3.12,0
37.37,8.42,2.36,16.16,0.34
46.51,11.63,0,11.63,0
40.54,2.7,0,0,0
20,10,6.67,10,0
32.61,6.52,8.7,8.7,2.44
50,0,0,0,0
40,10,0,0,0
